frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
51,2,2.3267,4.0174,1.6485,606.66,314.14,50.00,150.00
51,4,-2.7336,7.9974,1.6485,238.28,232.45,50.00,150.00
52,1,0.4910,3.0719,1.6485,438.94,364.66,50.00,150.00
52,2,2.2972,4.0697,1.6485,600.79,312.03,50.00,150.00
52,4,-2.7220,8.0700,1.6485,240.08,231.71,50.00,150.00
53,1,0.5000,3.0044,1.6485,441.57,369.48,50.00,150.00
53,2,2.2676,4.1219,1.6485,595.05,309.97,50.00,150.00
53,4,-2.7104,8.1427,1.6485,241.86,230.98,50.00,150.00
54,1,0.5091,2.9370,1.6485,444.34,374.51,50.00,150.00
54,2,2.2380,4.1741,1.6485,589.46,307.97,50.00,150.00
54,4,-2.6988,8.2153,1.6485,243.60,230.26,50.00,150.00
55,1,0.5182,2.8696,1.6485,447.24,379.79,50.00,150.00
55,2,2.2083,4.2263,1.6485,584.00,306.02,50.00,150.00
55,4,-2.6872,8.2880,1.6485,245.31,229.56,50.00,150.00
56,1,0.5274,2.8022,1.6485,450.29,385.32,50.00,150.00
56,2,2.1785,4.2785,1.6485,578.67,304.12,50.00,150.00
56,4,-2.6756,8.3607,1.6485,246.99,228.87,50.00,150.00
57,1,0.5366,2.7348,1.6485,453.48,391.12,50.00,150.00
57,2,2.1488,4.3307,1.6485,573.47,302.26,50.00,150.00
57,4,-2.6640,8.4333,1.6485,248.65,228.19,50.00,150.00
58,1,0.5458,2.6674,1.6485,456.84,397.21,50.00,150.00
58,2,2.1191,4.3828,1.6485,568.40,300.45,50.00,150.00
58,4,-2.6524,8.5060,1.6485,250.27,227.52,50.00,150.00
59,1,0.5549,2.6000,1.6485,460.38,403.62,50.00,150.00
59,2,2.0893,4.4350,1.6485,563.44,298.68,50.00,150.00
59,4,-2.6408,8.5786,1.6485,251.87,226.87,50.00,150.00
60,1,0.5641,2.5326,1.6485,464.10,410.37,50.00,150.00
60,2,2.0596,4.4871,1.6485,558.60,296.95,50.00,150.00
60,4,-2.6292,8.6513,1.6485,253.44,226.22,50.00,150.00
61,1,0.5733,2.4651,1.6485,468.03,417.49,50.00,150.00
61,2,2.0299,4.5393,1.6485,553.87,295.26,50.00,150.00
61,4,-2.6176,8.7239,1.6485,254.98,225.59,50.00,150.00
62,1,0.5825,2.3977,1.6485,472.18,425.01,50.00,150.00
62,2,2.0001,4.5914,1.6485,549.25,293.61,50.00,150.00
62,4,-2.6060,8.7966,1.6485,256.50,224.96,50.00,150.00
63,1,0.5917,2.3303,1.6485,476.56,432.96,50.00,150.00
63,2,1.9704,4.6436,1.6485,544.73,292.00,50.00,150.00
63,4,-2.5944,8.8692,1.6485,258.00,224.35,50.00,150.00
64,1,0.6009,2.2629,1.6485,481.21,441.39,50.00,150.00
64,2,1.9406,4.6958,1.6485,540.31,290.42,50.00,150.00
64,4,-2.5828,8.9419,1.6485,259.47,223.74,50.00,150.00
65,2,1.9109,4.7479,1.6485,535.99,288.88,50.00,150.00
65,4,-2.5712,9.0145,1.6485,260.91,223.15,50.00,150.00
66,2,1.8811,4.8001,1.6485,531.76,287.37,50.00,150.00
66,4,-2.5596,9.0872,1.6485,262.33,222.56,50.00,150.00
67,2,1.8514,4.8522,1.6485,527.62,285.90,50.00,150.00
67,4,-2.5480,9.1599,1.6485,263.73,221.99,50.00,150.00
68,2,1.8217,4.9044,1.6485,523.57,284.45,50.00,150.00
68,4,-2.5364,9.2325,1.6485,265.11,221.42,50.00,150.00
69,2,1.7919,4.9565,1.6485,519.61,283.04,50.00,150.00
69,4,-2.5248,9.3052,1.6485,266.47,220.86,50.00,150.00
70,2,1.7622,5.0087,1.6485,515.73,281.65,50.00,150.00
70,4,-2.5132,9.3778,1.6485,267.80,220.31,50.00,150.00
71,2,1.7324,5.0608,1.6485,511.93,280.29,50.00,150.00
71,4,-2.5016,9.4505,1.6485,269.12,219.77,50.00,150.00
72,2,1.7027,5.1130,1.6485,508.21,278.97,50.00,150.00
72,4,-2.4900,9.5231,1.6485,270.41,219.24,50.00,150.00
73,2,1.6729,5.1651,1.6485,504.56,277.66,50.00,150.00
73,4,-2.4784,9.5958,1.6485,271.69,218.72,50.00,150.00
74,2,1.6432,5.2173,1.6485,500.98,276.39,50.00,150.00
74,4,-2.4668,9.6684,1.6485,272.95,218.20,50.00,150.00
75,2,1.6135,5.2694,1.6485,497.48,275.14,50.00,150.00
75,4,-2.4552,9.7411,1.6485,274.18,217.69,50.00,150.00
76,2,1.5837,5.3216,1.6485,494.04,273.91,50.00,150.00
76,4,-2.4436,9.8137,1.6485,275.40,217.19,50.00,150.00
77,2,1.5540,5.3738,1.6485,490.67,272.71,50.00,150.00
77,4,-2.4320,9.8864,1.6485,276.60,216.70,50.00,150.00
78,2,1.5242,5.4259,1.6485,487.37,271.53,50.00,150.00
78,4,-2.4204,9.9591,1.6485,277.79,216.21,50.00,150.00
79,2,1.4945,5.4781,1.6485,484.13,270.37,50.00,150.00
79,4,-2.4088,10.0317,1.6485,278.95,215.73,50.00,150.00
80,2,1.4648,5.5302,1.6485,480.95,269.24,50.00,150.00
80,4,-2.3972,10.1044,1.6485,280.10,215.26,50.00,150.00
81,2,1.4350,5.5824,1.6485,477.82,268.12,50.00,150.00
81,4,-2.3856,10.1770,1.6485,281.24,214.79,50.00,150.00
82,2,1.4053,5.6345,1.6485,474.76,267.03,50.00,150.00
82,4,-2.3740,10.2497,1.6485,282.35,214.33,50.00,150.00
83,2,1.3755,5.6867,1.6485,471.75,265.96,50.00,150.00
83,4,-2.3624,10.3223,1.6485,283.46,213.88,50.00,150.00
84,2,1.3458,5.7388,1.6485,468.80,264.90,50.00,150.00
84,4,-2.3508,10.3950,1.6485,284.54,213.43,50.00,150.00
85,2,1.3160,5.7910,1.6485,465.90,263.87,50.00,150.00
85,4,-2.3392,10.4676,1.6485,285.61,212.99,50.00,150.00
86,2,1.2863,5.8431,1.6485,463.06,262.85,50.00,150.00
86,4,-2.3276,10.5403,1.6485,286.67,212.56,50.00,150.00
87,2,1.2566,5.8953,1.6485,460.26,261.85,50.00,150.00
87,4,-2.3160,10.6129,1.6485,287.71,212.13,50.00,150.00
88,2,1.2268,5.9474,1.6485,457.51,260.87,50.00,150.00
88,4,-2.3044,10.6856,1.6485,288.74,211.71,50.00,150.00
89,2,1.1971,5.9996,1.6485,454.81,259.91,50.00,150.00
89,4,-2.2928,10.7583,1.6485,289.75,211.29,50.00,150.00
90,2,1.1673,6.0518,1.6485,452.16,258.96,50.00,150.00
90,4,-2.2812,10.8309,1.6485,290.75,210.88,50.00,150.00
91,2,1.1376,6.1039,1.6485,449.55,258.03,50.00,150.00
91,4,-2.2696,10.9036,1.6485,291.74,210.48,50.00,150.00
92,2,1.1078,6.1561,1.6485,446.98,257.11,50.00,150.00
92,4,-2.2580,10.9762,1.6485,292.71,210.08,50.00,150.00
93,2,1.0781,6.2082,1.6485,444.46,256.21,50.00,150.00
93,4,-2.2464,11.0489,1.6485,293.68,209.68,50.00,150.00
94,2,1.0484,6.2604,1.6485,441.98,255.33,50.00,150.00
94,4,-2.2348,11.1215,1.6485,294.62,209.29,50.00,150.00
95,2,1.0186,6.3125,1.6485,439.55,254.46,50.00,150.00
95,4,-2.2232,11.1942,1.6485,295.56,208.91,50.00,150.00
96,2,0.9889,6.3647,1.6485,437.15,253.60,50.00,150.00
96,4,-2.2116,11.2668,1.6485,296.48,208.53,50.00,150.00
97,2,0.9591,6.4168,1.6485,434.79,252.76,50.00,150.00
97,4,-2.2000,11.3395,1.6485,297.40,208.15,50.00,150.00
98,2,0.9294,6.4690,1.6485,432.47,251.93,50.00,150.00
98,4,-2.1884,11.4121,1.6485,298.30,207.78,50.00,150.00
99,2,0.8997,6.5211,1.6485,430.18,251.12,50.00,150.00
99,4,-2.1768,11.4848,1.6485,299.19,207.42,50.00,150.00
100,2,0.8699,6.5733,1.6485,427.94,250.32,50.00,150.00
100,4,-2.1652,11.5575,1.6485,300.06,207.05,50.00,150.00
